creator_id,creator_name,email,category,subcategory,country_code,currency_code,plan_type,is_nsfw,is_verified,created_at,first_pledge_received_at,last_post_at,status
cr_0001,Rodriguez Figueroa and Sanchez,creator1@doyle.net,video,tech,NL,EUR,pro,False,True,2021-05-11 00:00:00,2023-02-13 00:00:00,2024-12-13 00:00:00,active
cr_0002,Garza Studio,creator2@davis.net,podcasts,interviews,NL,EUR,premium,True,False,2022-04-06 00:00:00,2023-03-04 00:00:00,2024-12-15 00:00:00,active
cr_0003,Johnson Gonzalez and Santos,creator3@barnes.com,writing,journalism,DE,EUR,premium,False,True,2022-06-05 00:00:00,2023-02-14 00:00:00,2024-11-23 00:00:00,active
cr_0004,Wolfe Creative,creator4@moore-bernard.com,podcasts,comedy,CA,USD,pro,False,True,2021-10-08 00:00:00,2023-02-23 00:00:00,2024-12-20 00:00:00,active
cr_0005,Davis Studio,creator5@abbott-munoz.com,writing,newsletters,ES,EUR,pro,False,True,2021-11-07 00:00:00,2023-02-22 00:00:00,2024-12-24 00:00:00,active
cr_0006,Stevens Martinez and Nielsen,creator6@arnold.org,video,gaming,AU,USD,pro,False,True,2022-06-05 00:00:00,2023-01-28 00:00:00,2024-12-28 00:00:00,active
cr_0007,Ray-Bush,creator7@stanley.com,writing,newsletters,US,USD,pro,False,True,2021-06-10 00:00:00,2023-02-08 00:00:00,2024-12-28 00:00:00,active
cr_0008,Delacruz Group,creator8@chavez-flowers.com,visual_art,comics,FR,EUR,pro,False,True,2022-04-06 00:00:00,2023-04-07 00:00:00,2024-12-14 00:00:00,active
cr_0009,Kelly-Santiago,creator9@zuniga.com,video,vlogs,NL,EUR,pro,False,False,2021-06-10 00:00:00,2023-02-23 00:00:00,2024-12-18 00:00:00,active
cr_0010,Daniel Martin and Gray,creator10@watts.com,writing,fiction,DE,EUR,pro,False,True,2021-02-10 00:00:00,2023-03-03 00:00:00,2024-12-28 00:00:00,active
cr_0011,Underwood Creative,creator11@adams-clark.org,video,tech,US,USD,pro,False,True,2021-05-11 00:00:00,2023-02-27 00:00:00,2024-12-13 00:00:00,active
cr_0012,Edwards Rios and Foster,creator12@ellis.net,video,tutorials,CA,USD,premium,False,False,2021-09-08 00:00:00,2023-02-18 00:00:00,2024-11-27 00:00:00,active
cr_0013,Baker Richards and Hurst,creator13@cox-osborn.com,podcasts,comedy,ES,EUR,premium,False,True,2021-11-07 00:00:00,2023-02-08 00:00:00,2024-12-22 00:00:00,active
cr_0014,Snyder Campos and Callahan,creator14@burton.biz,video,gaming,CA,USD,pro,False,True,2022-03-07 00:00:00,2023-02-12 00:00:00,2024-12-16 00:00:00,active
cr_0015,Brown James and Ferrell,creator15@king.com,video,tutorials,CA,USD,premium,False,False,2021-06-10 00:00:00,2023-02-05 00:00:00,2024-12-18 00:00:00,active
cr_0016,Dyer Potter and Mack,creator16@rodriguez-graham.info,visual_art,digital_illustration,NO,NOK,pro,False,True,2021-05-11 00:00:00,2023-02-21 00:00:00,2024-12-27 00:00:00,active
cr_0017,Mckay Ltd,creator17@stanton-gill.net,education,fitness,DE,EUR,pro,False,False,2022-04-06 00:00:00,2023-02-20 00:00:00,2024-12-09 00:00:00,active
cr_0018,Harrell Creative,creator18@romero.com,podcasts,interviews,CA,USD,pro,False,False,2022-01-06 00:00:00,2023-01-20 00:00:00,2024-12-05 00:00:00,active
cr_0019,Ashley Nielsen and Sellers,creator19@nguyen.com,education,languages,AU,USD,premium,False,False,2021-08-09 00:00:00,2023-01-26 00:00:00,2024-12-09 00:00:00,active
cr_0020,Brown PLC,creator20@miller.com,music,production,US,USD,pro,False,False,2022-07-05 00:00:00,2023-01-13 00:00:00,2024-12-26 00:00:00,active
cr_0021,Cannon Anderson and Alvarez,creator21@martin.com,writing,newsletters,NL,EUR,pro,False,True,2022-02-05 00:00:00,2023-01-24 00:00:00,2024-12-15 00:00:00,active
cr_0022,Campos Vaughn and Marquez,creator22@carney-santos.info,video,vlogs,FR,EUR,pro,False,True,2021-05-11 00:00:00,2023-01-25 00:00:00,2024-12-24 00:00:00,active
cr_0023,Hayes Wright and Brown,creator23@chapman.org,podcasts,true_crime,ES,EUR,pro,False,True,2021-08-09 00:00:00,2023-01-30 00:00:00,2024-12-23 00:00:00,active
cr_0024,Smith Ltd,creator24@brown.com,podcasts,history,GB,USD,pro,True,True,2022-06-05 00:00:00,2023-01-26 00:00:00,2024-12-21 00:00:00,active
cr_0025,Palmer Creative,creator25@washington.org,education,languages,DE,EUR,pro,False,True,2022-06-05 00:00:00,2023-02-04 00:00:00,2024-12-27 00:00:00,active
cr_0026,Kennedy Mueller and Aguirre,creator26@davis.biz,education,music_lessons,FR,EUR,pro,False,True,2021-03-12 00:00:00,2023-01-08 00:00:00,2024-12-16 00:00:00,active
cr_0027,Henderson-Owens,creator27@brown.com,visual_art,animation,US,USD,pro,False,True,2021-04-11 00:00:00,2023-01-24 00:00:00,2024-11-15 00:00:00,active
cr_0028,Chandler-Mcbride,creator28@wright.net,writing,poetry,CA,USD,premium,False,True,2022-04-06 00:00:00,2023-02-10 00:00:00,2024-12-15 00:00:00,active
cr_0029,Taylor-White,creator29@wright-leblanc.info,podcasts,history,NL,EUR,pro,False,True,2022-07-05 00:00:00,2023-02-15 00:00:00,2024-12-25 00:00:00,active
cr_0030,Garcia Pearson and Fernandez,creator30@novak.com,video,tech,ES,EUR,pro,False,True,2021-02-10 00:00:00,2023-02-08 00:00:00,2024-12-24 00:00:00,active
cr_0031,Tucker-Lewis,creator31@barrera-martin.com,podcasts,interviews,GB,USD,lite,False,True,2021-03-12 00:00:00,2023-01-31 00:00:00,2024-12-26 00:00:00,active
cr_0032,Baker-Bowers,creator32@mitchell-horton.net,music,production,SE,EUR,pro,False,False,2021-11-07 00:00:00,2023-01-25 00:00:00,2024-12-19 00:00:00,active
cr_0033,Higgins Moore and Phillips,creator33@riley.com,music,lessons,NL,EUR,premium,False,False,2022-07-05 00:00:00,2023-01-30 00:00:00,2024-12-24 00:00:00,active
cr_0034,Edwards Williams and Woods,creator34@moore.com,education,languages,SE,EUR,premium,True,True,2022-05-06 00:00:00,2023-03-15 00:00:00,2024-12-19 00:00:00,active
cr_0035,Larson Ltd,creator35@powell.com,visual_art,comics,SE,EUR,pro,True,True,2022-05-06 00:00:00,2023-02-07 00:00:00,2024-12-19 00:00:00,active
cr_0036,Wheeler Harvey and Barnes,creator36@cunningham.com,podcasts,interviews,ES,EUR,premium,False,True,2021-12-07 00:00:00,2023-01-24 00:00:00,2024-12-16 00:00:00,active
cr_0037,Baker and Sons,creator37@brewer.com,visual_art,comics,FR,EUR,lite,False,False,2021-06-10 00:00:00,2023-03-16 00:00:00,2024-11-22 00:00:00,active
cr_0038,Ellis PLC,creator38@jones.net,video,tech,US,USD,pro,False,True,2022-07-05 00:00:00,2023-01-30 00:00:00,2024-12-22 00:00:00,active
cr_0039,Anderson-Bailey,creator39@suarez.com,podcasts,history,DE,EUR,premium,False,False,2021-03-12 00:00:00,2023-02-15 00:00:00,2024-12-14 00:00:00,active
cr_0040,Kim PLC,creator40@turner.net,video,gaming,US,USD,pro,False,True,2022-05-06 00:00:00,2023-01-11 00:00:00,2024-12-27 00:00:00,active
cr_0041,Contreras PLC,creator41@huynh-garcia.com,video,tutorials,SE,EUR,pro,False,False,2021-02-10 00:00:00,2023-02-17 00:00:00,2024-12-01 00:00:00,active
cr_0042,Wilson-Rodriguez,creator42@moore.com,podcasts,true_crime,FR,EUR,pro,False,True,2021-05-11 00:00:00,2023-02-25 00:00:00,2024-12-21 00:00:00,active
cr_0043,Watts Creative,creator43@freeman.com,video,vlogs,SE,EUR,premium,False,True,2022-07-05 00:00:00,2023-01-31 00:00:00,2024-10-14 00:00:00,active
